"identifier";"province";"district";"chiefdom";"community";"water point name";"implementing partner";"facility";"geo latitude";"geo longitude";"geo elevation";"water_supply_type";"pH high";"pH low";"ammonia";"fluoride";"iron";"nitrate";"phosphate";"potassium";"sulfate";"nitrite";"chloride";"turbidity";"electrical conductivity";"temperature";"barcode";"ecoli risk indication";"MPN_100ml";"conf_inter_95";"risk_assessment"
"4t00-pqs9-f131";"Northern";"Bombali";"Bombali Sebora";"MABOLLEH CHP";"HAND DUY WELL";"1";"PHU";"8.8214221";"-12.0543408";"109.62999725341797";"Rehabilitated hand dug well - handpump";6,5;NA;0,06;0,05;0,15;1,4;0,05;0,6;51;0,01;NA;0;23;29,7;"05078";"Low Risk / Safe";"0";"2.87";2
"tc53-6ef2-u8ct";"Northern";"Koinadugu";"Gbonkobon Kayaka";"SAWURIA";"PHU WATER POINT";NA;"PHU";"9.482626666666667";"-11.80527";"301.4";"New hand dug well - handpump";6,87;NA;0,02;0,05;0,02;7,3;0,05;8,3;5;0,01;NA;0;120;247;"02311";"Intermediate Risk / Possibly Safe";"4.7";"22.75";1
"tce9-s6ra-9hkg";"North Western";"Port Loko";"Maforki";"NEW MAFORKI";"NEW MAFORKI CHP";"8";"PHU";"8.746998333333332";"-12.761498333333334";"7.5";"New borehole with submersible pump";6,5;NA;0,04;NA;0,06;1;0,05;2,3;NA;0,01;NA;9;11;28,1;"02072";"Intermediate Risk / Possibly Safe";"4.7";"22.75";2
"qahy-e1e7-4ehx";"Western";"Western Area Rur";"Waterloo Rural";"WATERLOO";"REC PRIMARY SCHOOL WATERLOO";"1";"School";"8.3402250238009";"-13.073727485449309";"59.2655052247251";"New borehole - handpump";6,5;NA;0,13;0,05;0,02;1;0,24;0,7;88;0,01;0,5;0;9;24,9;"02056";"Low Risk / Safe";"0";"2.87";1
"t7kw-vjcm-njee";"Northern";"Bombali";"Bombali Sebora";"PATE BANA MASIMBO";"HAND DUG WELL";"1";"Community water point";"8.8602391";"-12.0749035";"122.36000061035156";"Rehabilitated hand dug well - handpump";6,5;NA;0,08;0,05;0,02;1,1;0,05;0,6;100;0,01;NA;0;23;30,1;"02113";"Intermediate Risk / Probably Safe";"2.6";"8.51";1
"fupv-jyhy-t6xn";"Southern";"Bonthe";"Yawbeko";"HAHUN";"RC PRIMARY";NA;"School";"7.467065000000001";"-12.147136666666665";"-10.5";"New borehole - handpump";6,5;NA;0,07;0,05;0,15;1;0,05;0,7;5;0,01;17,9;0;31,4;10;"03505";"Low Risk / Safe";"0";"2.87";7
"t7qa-5pwj-eqn9";"Northern";"Bombali";"Bombali Sebora";"PATE BANA SIMBO";"HAND DUG WELL";"1";"School";"8.859681626781821";"-12.07251406274736";"109.30000305175781";"Rehabilitated hand dug well - handpump";6,5;NA;0,18;0,05;0,09;1,7;0,11;0,8;34;0,02;NA;0;8;30,7;"02112";"Intermediate Risk / Possibly Safe";"4.7";"22.75";0
"5ba8-6c59-avxs";"Southern";"Moyamba";"Kaiyamba";"TANiNIHUN MOLAGO";"MDEC PRIMARY SCHOOL MOLANGO";"4";"School";"8.17954186";"-12.40548018";"96.0";"New hand dug well - handpump";6,5;NA;0,05;0,27;0,15;1;0,05;0,6;33;0,01;NA;0;32;329;"03673";"Low Risk / Safe";"0";"2.87";1
"v95j-x3up-w4fv";"North Western";"Port Loko";"Maforki";"PORT LOKO CITY";"DEC PRIMARY SCHOOL-OLD PORT";"8";"School";"8.751766666666667";"-12.783976666666668";"25.4";"New borehole with submersible pump";6,5;NA;0,02;NA;0,02;2,9;0,08;0,6;5;0,01;NA;0;61;32;"02071";"Low Risk / Safe";"0";"2.87";1
"q9rf-m1mc-pfj0";"Southern";"Moyamba";"Fakunya";"GANDORHUN";"CHC GANDORHUN";"3";"PHU";"8.23370782";"-12.33588518";"88.0";"New borehole with submersible pump";7,56;NA;0,08;0,05;0,07;1;0,13;2,8;100;0,01;NA;0;270;332;"03674";"Low Risk / Safe";"0";"2.87";2
"8ctt-6k92-hadc";"North Western";"Port Loko";"Bakeh Loko";"PORT LOKO CITY";"DEC BANGLA SIERRA";"8";"School";"8.765526666666666";"-12.778950000000002";"26.4";"Rehabilitated hand dug well - handpump";6,53;NA;0,02;NA;0,03;1,6;0,05;0,7;25;0,01;NA;0;93;33,1;"02070";"High Risk / Possibly Unsafe";"13.6";"83.06";5
