"identifier";"province";"district";"chiefdom";"community";"water point name";"implementing partner";"facility";"geo latitude";"geo longitude";"geo elevation";"water_supply_type";"pH high";"pH low";"ammonia";"fluoride";"iron";"nitrate";"phosphate";"potassium";"sulfate";"nitrite";"chloride";"turbidity";"electrical conductivity";"temperature";"barcode";"ecoli risk indication";"MPN_100ml";"conf_inter_95";"risk_assessment"
"6v7a-sp9u-gkwn";"Eastern";"Kenema";"Nongowa";"MASSAHUN";"MASSAHUN MCHP WATER POINT";NA;"PHU";"8.05193";"-10.968031666666665";"174.8";"New borehole with submersible pump";6,5;NA;0,02;0,05;0,02;1;0,05;0,9;100;0,02;NA;21;62;32,2;"03948";"High Risk / Possibly Unsafe";"13.6";"83.06";1
"b626-6wnx-0bv4";"Southern";"Pujehun";"Kabonde";"PEHALA";"PEHALA  COMMUNITY";NA;"Community water point";"7.523304999999999";"-11.61988";"23.4";"New borehole - handpump";6,58;NA;0,11;0,05;0,08;7,5;0,09;5,6;10;0,01;16;0;142;29,1;"03806";"Low Risk / Safe";"0";"2.87";2
"fe1c-ycrq-vhmb";"Eastern";"Kenema";"Nongowa";"MASSAHUN";"R C MASSAHUN WATER POINT";NA;"School";"8.050396666666668";"-10.969068333333333";"185.4";"New hand dug well - handpump";6,5;NA;0,02;0,05;0,07;3,2;0,05;0,7;70;0,01;NA;0;76;30,1;"03949";"Low Risk / Safe";"0";"2.87";0
"7109-dxmu-qf3d";"Southern";"Pujehun";"Panga";"MANDEIMA";"MANDEIMA PHU";NA;"PHU";"7.445258333333333";"-11.746319999999999";"81.7";"Rehabilitated hand dug well - handpump";7,06;NA;0,12;0,3;0,04;2,5;0,15;0,8;5;0,01;6,8;12;66;35,4;"03807";"Low Risk / Safe";"0";"2.87";6
"q2qv-2q8n-e8ud";"Western";"Western Area Rur";"Koya Rural";"MATHIMBOS";"MATHIMBOS COM. WELL";"1";"Community water point";"8.321459693025473";"-12.900895213007505";"51.85910225492513";"New borehole - handpump";6,5;NA;0,08;0,05;0,19;2,6;0,05;0,6;57;0,01;0,5;0;22;30,8;"02045";"Low Risk / Safe";"0";"2.87";0
"djvk-7krh-u8rj";"Southern";"Pujehun";"Panga krim";"BAYAMA";"BAYAMA PHU";"6";"PHU";"7.408033333333333";"-11.725713333333333";"57.1";"Rehabilitated hand dug well - handpump";7,43;NA;0,13;0,17;0,04;1,3;0,09;1,6;29;0,02;7,2;0;151;33,2;"03835";"Intermediate Risk / Possibly Safe";"4.7";"22.75";7
"329b-trd8-2f01";"Southern";"Moyamba";"Fakunya";"MOKOREWA";"MCHP MOKOREWA";"3";"PHU";"8.16894314";"-12.24816499";"98.0";"New borehole with submersible pump";6,5;NA;0,05;0,05;0,06;1;0,05;0,7;36;0,01;NA;0;17;31,5;"03678";"Intermediate Risk / Probably Safe";"1.2";"5.64";1
"jtnc-f6gk-mtuw";"Southern";"Moyamba";"Fakunya";"GBAPPIE SONGO";"UMC PRIMARY SCHOOL GBAPPIE SONGO";"3";"School";"8.22800727";"-12.25830478";"109.0";"Rehabilitated hand dug well - handpump";6,5;NA;0,06;0,05;0,02;1,1;0,05;0,6;5;0,01;NA;0;11;32;"03679";"Intermediate Risk / Probably Safe";"1.5";"7.81";2
"putj-9pyk-kry4";"Western";"Western Area Rur";"Koya Rural";"ROGBANEH";"ROGBANEH COM. WELL";"1";"School";"8.312131597670668";"-12.90836789539758";"82.91688966166274";"New borehole - handpump";6,5;NA;0,12;0,86;1;1;0,18;1,3;100;0,02;0,5;0;34;30,1;"02047";"Low Risk / Safe";"0";"2.87";0
"f36k-mhq6-g6d2";"Western";"Western Area Rur";"Koya Rural";"Rogbaneh";"Ahmadiya Rogbaneh";"1";"School";"8.312547902184823";"-12.905763646210554";"52.92996572221213";"New borehole - handpump";6,71;NA;0,5;0,05;1;1;1,31;2,7;83;0,19;9,5;304;23;30,4;"02048";"Low Risk / Safe";"0";"2.87";0
"gdnw-52d5-hn60";"Western";"Western Area Rur";"Koya Rural";"MATAKAY";"MATAKAY COM. WELL";"1";"Community water point";"8.313927122945028";"-12.904908378198732";"51.731538793280144";"New borehole - handpump";6,5;NA;0,18;0,14;1;1;0,07;0,8;100;0,01;0,5;19;86;31,3;"02046";"Low Risk / Safe";"0";"2.87";0
"d5yk-8q25-kdt1";"Southern";"Bo";"Niawa Lenga";"NENGBEHMA";"NENGBEHMA  PHU WATER POINT";"1";"PHU";"8.12701153";"-11.65273817";"127.0";"New borehole with submersible pump";6,55;NA;0,08;0,05;0,02;2,6;0,18;1;5;0,05;NA;0;59;33,6;"02550";"Low Risk / Safe";"0";"2.87";2
"n68q-ftbp-xs8s";"Western";"Western Area Rur";"Koya Rural";"BRAMA";"BRAMA COM WELL";"1";"Community water point";"8.364546239531105";"-12.961921592065378";"50.69225006790638";"New borehole with submersible pump";6,5;NA;0,08;0,05;0,02;1,6;0,08;0,9;100;0,01;12,2;27;11;24,6;"02043";"Low Risk / Safe";"0";"2.87";0
"f28j-xbd9-aj04";"Northern";"Bombali";"Paki Masabong";"MASABONG-PILL";"BOREHOLE";"11";"PHU";"8.699651";"-12.0021136";"112.66000366210938";"New borehole with submersible pump";6,5;NA;0,07;0,05;0,13;30;0,05;12;10;0,01;NA;7;249;28,5;"02111";"Low Risk / Safe";"0";"2.87";2
"895w-um97-yctg";"North Western";"Port Loko";"Koya";"MILE 38";"MILE 38 MCHP";"8";"PHU";"8.453141666666665";"-12.854038333333332";"-15.2";"New borehole with submersible pump";6,5;NA;0,05;0,05;0,06;1;0,06;1,7;5;0,01;NA;0;27;31,5;"02064";"Intermediate Risk / Probably Safe";"2";"6.32";4
"xem8-b7nq-edcn";"North Western";"Port Loko";"Koya";"SUMBUYA";"SUMBUYA CHP";"8";"PHU";"8.420275";"-12.899268333333335";"34.8";"New borehole with submersible pump";6,5;NA;0,09;0,05;0,02;1,1;0,05;0,6;10;0,01;NA;0;32;31,5;"02063";"Intermediate Risk / Possibly Safe";"5.4";"12.93";2
"jape-d8wr-ft98";"Northern";"Bombali";"Makari";"MAKARIE";"BOREHOLE";"1";"PHU";"8.864718941040337";"-12.126264944672585";"109.0";"New borehole with submersible pump";6,5;NA;0,06;0,05;0,05;1;0,05;1,9;100;0,01;NA;0;11;28,5;"02099";"Low Risk / Safe";"0";"2.87";1
"r9fg-2k7u-6a3";"Northern";"Bombali";"Makari";"MAKARIE";"HAND DUG WELL";"1";"School";"8.8691545";"-12.1276365";"107.0";"New hand dug well - handpump";6,64;NA;0,02;0,05;0,02;3;0,1;0,7;100;0,01;NA;0;118;30,6;"02100";"Low Risk / Safe";"0";"2.87";1
"rxcw-1kc4-561m";"Northern";"Bombali";"Makari";"MAKARIE";"BOREHOLE";"1";"Community water point";"8.868596";"-12.1247291";"114.0";"Rehabilitated borehole - handpump";6,5;NA;0,08;0,05;0,33;1,3;0,28;1,7;10;0,01;NA;0;76;30,8;"05076";"Low Risk / Safe";"0";"2.87";1
"5x79-g45n-s077";"North Western";"Kambia";"Mambolo";"MACOTH";"RC MACOTH";NA;"School";"8.91635014912194";"-13.015090338153389";"39.15333397379481";"Rehabilitated hand dug well - handpump";6,5;NA;0,04;0,05;0,02;3,2;0,05;0,6;5;0,01;8,8;0;34;32,3;"03497";"Very High Risk / Unsafe";">100";"9435.1";1
"yyxr-9k4t-5jc6";"North Western";"Kambia";"Mambolo";"Macoth";"Macoth PHU";NA;"PHU";"8.915474211415244";"-13.01563295994397";"30.618971320650676";"New borehole with submersible pump";6,5;NA;0,1;0,05;0,02;1;0,05;0,6;5;0,01;4,4;0;6;30,2;"03454";"Low Risk / Safe";"0";"2.87";1
"mpeg-ymp8-gsp7";"North Western";"Kambia";"Mambolo";"MAYAKIE";"MAYAKIE PHU";NA;"PHU";"8.902890284749478";"-12.935868618128486";"59.50643342217804";"New borehole with submersible pump";6,65;NA;0,02;0,05;0,05;1;0,64;2,1;14;0,01;1,2;0;127;35,3;"03455";"Low Risk / Safe";"0";"2.87";1
"5r3m-9daj-5xgr";"North Western";"Kambia";"Magbema";"KAMBA 2";"KAMBA PHU";NA;"PHU";"9.039382130042998";"-12.873591832586222";"17.944007418174003";"Rehabilitated hand dug well with submersible pump";6,5;NA;0,06;0,05;0,02;1;0,05;0,6;5;0,01;2,5;0;20;34;"03495";"Intermediate Risk / Probably Safe";"1.5";"7.81";1
"sh1r-0yvc-uwr";"North Western";"Kambia";"Magbema";"KAMBA 1";"COMMUNITY STORE TAP";NA;"Community water point";"9.045269156372095";"-12.869888735820611";"88.59380866758814";"New borehole with submersible pump";7,18;NA;0,05;0,05;0,03;1;0,35;0,7;5;0,01;1,8;0;122;29,2;"03494";"Intermediate Risk / Probably Safe";"2";"6.32";2
"k2ne-7a29-13c3";"North Western";"Kambia";"Tonko Limba";"KAMAGBEHU";"MCHP";NA;"PHU";"9.255987331723178";"-12.576426055795014";"121.10990776134699";"New borehole with submersible pump";7,18;NA;0,05;0,17;0,05;1;0,25;0,6;5;0,01;2,6;9;210;30,8;"03493";"Low Risk / Safe";"0";"2.87";3
"yux7-1pbx-m354";"North Western";"Kambia";"Tonko Limba";"KAMAGBEWU";"WESLYAN PRIMARY SCHOOL";NA;"School";"9.25700661513723";"-12.576544121693143";"124.63582664492907";"Rehabilitated hand dug well - handpump";7,2;NA;0,05;0,1;0,02;4,1;0,06;2,5;26;0,01;6,3;0;244;31,6;"03490";"Low Risk / Safe";"0";"2.87";1
"73s8-g2df-j4fu";"North Western";"Kambia";"Tonko Limba";"NUMEA";"NUMEA PHU";NA;"PHU";"9.264417462936292";"-12.71896752754879";"96.79278529221105";"Rehabilitated hand dug well with submersible pump";6,5;NA;0,03;0,07;0,02;4;0,05;0,6;5;0,01;1,7;0;25;37,2;"03489";"Low Risk / Safe";"0";"2.87";1
"exyu-d9ue-r8py";"North Western";"Kambia";"Tonko Limba";"NUMEA";"SLMB PRIMARY SCHOOL";NA;"School";"9.261325420466871";"-12.72190442854619";"88.69970452945938";"New hand dug well - handpump";7,62;NA;0,04;0,05;0,03;1,4;0,05;3,3;44;0,01;5,7;0;245;32,1;"03492";"High Risk / Possibly Unsafe";"13.6";"83.06";1
"dg6n-btkv-en28";"North Western";"Kambia";"Bramaia";"GBOLON";"PHU";NA;"PHU";"9.348651971668152";"-12.737697245938786";"82.19970511585234";"Rehabilitated hand dug well with submersible pump";7,05;NA;0,04;0,05;0,02;2,4;0,05;1,2;5;0,01;2,7;0;84;31,5;"03456";"High Risk / Possibly Unsafe";"13.6";"83.06";1
"pxkf-syyb-s9sj";"North Western";"Kambia";"Bramaia";"GBOLON";"KDEC";NA;"School";"9.34476282354682";"-12.737218049519688";"90.19008107371764";"New hand dug well - handpump";7,48;NA;0,03;0,05;0,02;1;0,05;1;5;0,01;2,6;0;200;30,1;"03457";"Low Risk / Safe";"0";"2.87";2
"fmmt-n02y-cvt1";"Southern";"Moyamba";"Kaiyamba";"KORGBOTUMA";"MCHP KORGBOTUMA";"4";"PHU";"8.05227092";"-12.4630862";"113.0";"New borehole with submersible pump";6,92;NA;0,06;0,05;0,02;1;0,28;0,7;64;0,01;NA;0;223;31,3;"03680";"Low Risk / Safe";"0";"2.87";2
"dyva-5stw-t3cs";"North Western";"Kambia";"Bramaia";"SULAIMANIA";"CHIEF COMPOUND";NA;"Community water point";"9.297471940317006";"-12.780846122710576";"73.33379423631487";"Rehabilitated hand dug well - handpump";6,5;NA;0,02;0,05;0,02;1;0,06;0,6;5;0,01;2,2;0;7;29,4;"03458";"Low Risk / Safe";"0";"2.87";2
"hw6a-my5w-3r9g";"Eastern";"Kenema";"Nongowa";"JORMU";"JORMU CHP WATER POINT";"5";"PHU";"7.949018333333333";"-11.051561666666665";"180.1";"New borehole with submersible pump";6,5;NA;0,05;0,05;0,05;1;0,07;0,6;5;0,01;NA;0;217;32,7;"03952";"Intermediate Risk / Probably Safe";"1";"4.74";3
"sufe-6m8p-v9h1";"North Western";"Kambia";"Magbema";"MODIA";"PHU";NA;"PHU";"9.188646455339487";"-12.87798941780515";"52.217973354963405";"New borehole with submersible pump";6,58;NA;0,07;0,09;0,02;1;0,34;1,2;5;0,01;2,4;0;116;32,5;"03459";"Low Risk / Safe";"0";"2.87";1
"9w3d-xwdn-g4p1";"Eastern";"Kenema";"Nongowa";"MALLEH";"R C PRI SCH WATER POINT MALLEH";"5";"School";"7.896536666666666";"-11.040781666666666";"165.5";"New hand dug well - handpump";7,27;NA;0,03;0,05;0,11;2,1;0,06;4,6;74;0,01;NA;0;312;29,4;"03942";"Low Risk / Safe";"0";"2.87";1
"yy7e-2dn6-xtb1";"Eastern";"Kenema";"Nongowa";"KPALU";"KPALU COMMUNITY WATER POINT";"5";"Community water point";"7.907296666666667";"-11.084900000000001";"161.8";"Rehabilitated hand dug well - handpump";6,5;NA;0,03;0,05;0,02;10,9;0,1;4,8;5;0,01;NA;0;134;29,4;"03938";"Intermediate Risk / Probably Safe";"2.6";"8.51";3
"yj1p-6efk-d6g5";"Eastern";"Kenema";"Nongowa";"NYEWANYEHUN";"KMDEC PRI SCH NYEWANYEHUN";"5";"School";"7.882369999999999";"-11.048083333333333";"199.9";"New hand dug well - handpump";6,5;NA;0,03;0,05;0,02;1,6;0,18;0,7;38;0,01;NA;0;99;29,4;"03939";"Low Risk / Safe";"0";"2.87";1
"7ekw-fu91-8dyd";"North Western";"Kambia";"Masungbala";"KAWULA";"CHP";NA;"PHU";"9.133834059317437";"-12.845125401534995";"67.36882027181288";"New borehole with submersible pump";6,82;NA;0,06;0,08;0,02;1;0,62;1;5;0,01;2,3;0;98;29,2;"03460";"Low Risk / Safe";"0";"2.87";5
"84u0-qtwg-38c1";"North Western";"Kambia";"Masungbala";"BUNDHA";"MOSQUE";NA;"Community water point";"9.079780037223486";"-12.826231266230018";"88.97198264517024";"New hand dug well - handpump";6,5;NA;0,05;0,05;0,4;12;0,05;2,3;5;0,01;0,5;0;107;31,3;"03488";"Low Risk / Safe";"0";"2.87";4
"a6m9-s69r-utm8";"North Western";"Kambia";"Masungbala";"GBALAN MAYINKA";"DIBIA ROAD";NA;"Community water point";"9.096450453389888";"-12.841306586252417";"80.93377753866314";"New hand dug well - handpump";6,58;NA;0,05;0,05;0,02;3,3;0,05;0,7;43;0,01;4,6;0;138;30;"03487";"Intermediate Risk / Probably Safe";"1.2";"5.64";3
"qq6j-5m70-2umq";"North Western";"Kambia";"Gbinle";"WORREH";"MCHP";NA;"Community water point";"9.086196824399426";"-12.97398467606839";"68.44084787434494";"Rehabilitated hand dug well with submersible pump";6,5;NA;0,04;0,05;0,02;1;0,05;0,6;5;0,01;0,5;5;41;29,4;"03486";"Low Risk / Safe";"0";"2.87";1
"grhb-w4au-ysy6";"Eastern";"Kenema";"Nongowa";"BANDAMA";"BANDAMA COMMUNITY WATER POINT";"5";"Community water point";"7.893023333333334";"-11.0905";"206.3";"Rehabilitated hand dug well - handpump";6,5;NA;0,12;0,05;0,34;18,3;0,19;10,2;17;0,01;NA;0;20;28,2;"03943";"High Risk / Possibly Unsafe";"13.6";"83.06";6
"5mrb-0dr6-0p2n";"Southern";"Moyamba";"Kori";"TAIAMA";"YWCA NURSERY  AND PRE SCHOOL TAIAMA";"4";"School";"8.19993032";"-12.06167953";"95.0";"Rehabilitated hand dug well - handpump";7,76;NA;0,03;0,05;0,02;2,6;0,05;4,1;50;0,01;NA;0;169;30,4;"03681";"Low Risk / Safe";"0";"2.87";1
"jr8c-ctaw-dntr";"Southern";"Moyamba";"Kori";"TAIAMA";"KODA PRIMARY SCHOOL TAIAMA";"4";"School";"8.19751863";"-12.0588082";"86.0";"Rehabilitated hand dug well - handpump";6,71;NA;0,06;0,19;0,09;2,4;0,14;0,7;100;0,01;NA;0;95;31,1;"03799";"High Risk / Probably Unsafe";"48.3";"351.91";1
"j6dx-rhqq-34tr";"Southern";"Moyamba";"Fakunya";"WATERLOO";"ALKUDUS ISLAMIC PRIMARY SCHOOL WATERLOO";"3";"School";"8.28366083";"-12.25763327";"110.0";"New hand dug well - handpump";7,8;NA;0,07;0,05;0,03;1;0,05;0,9;59;0,05;NA;24;195;28,5;"03798";"Intermediate Risk / Probably Safe";"2.6";"8.51";1
"va5n-v5c4-v31j";"Eastern";"Kenema";"Nongowa";"BORBU";"BORBU COMMUNITY WATER POINT";"5";"Community water point";"7.816723333333334";"-11.200891666666667";"198.2";"Rehabilitated hand dug well - handpump";6,92;NA;0,02;0,05;0,09;6;0,05;4,4;18;0,01;NA;0;158;30,8;"03894";"Very High Risk / Unsafe";">100";"9435.1";0
"vtkf-pxd3-v661";"Eastern";"Kenema";"Nongowa";"GBANDOMA";"GBANDOMA COMMUNITY WATER POINT";"5";"Community water point";"7.993295000000001";"-11.056931666666665";"88.0";"Rehabilitated hand dug well - handpump";6,5;NA;0,02;0,05;0,13;10,2;0,06;8,1;5;0,01;NA;0;155;29,5;"03936";"Intermediate Risk / Probably Safe";"1";"5.14";0
"3qf1-0u38-hqey";"Eastern";"Kenema";"Nongowa";"SOWEIMA";"SOWEIMA COMMUNITY WATER POINT";"5";"Community water point";"7.980758333333334";"-11.05598";"237.9";"Rehabilitated hand dug well - handpump";6,5;NA;0,02;0,05;0,08;1,5;0,06;0,7;27;0,01;NA;0;77;29,3;"03935";"Intermediate Risk / Possibly Safe";"4.7";"22.75";1
"c2gr-e7kv-xj4h";"Eastern";"Kenema";"Nongowa";"SERABU";"SERABU MCHP WATER POINT";"4";"PHU";"7.854106666666667";"-11.285233333333334";"123.6";"Rehabilitated hand dug well - handpump";6,5;NA;0,02;0,05;0,09;1;0,13;0,6;5;0,01;NA;0;65;30,1;"03937";"Intermediate Risk / Possibly Safe";"4.7";"22.75";1
"pu3x-qjj3-swfu";"Northern";"Tonkolili";"Kholifa Rowala";"MATURA GIRLS HIGH SCHOOL";"GIRLS WATER SOURCE";"Mapping officer - MoWR";"School";"8.731449999999999";"-11.904905000000001";"110.2";"Rehabilitated hand dug well - handpump";6,5;NA;0,06;NA;0,13;1;0,05;0,7;10;0,01;NA;0;20;29,8;"02015";"Intermediate Risk / Possibly Safe";"9.6";"37.68";3
"mch9-p9xx-e84j";"Northern";"Tonkolili";"Kholifa Rowala";"BOYS HIGH SCHOOL";"BOYS HIGH WATER POINT";"10";"School";"8.718623333333333";"-11.945386666666666";"93.8";"New borehole with submersible pump";6,5;NA;0,08;NA;0,02;6,7;0,05;0,6;30;0,01;NA;0;94;28,7;"02016";"Low Risk / Safe";"0";"2.87";2
"7cm1-akqs-kyfx";"North Western";"Port Loko";"Kaffu Bullom";"Lungi";"SLMB PRIMARY SCHOOL-MODIA";"Mapping officer - MoWR";"School";"8.64199763";"-13.22309572";"52.0";"Rehabilitated hand dug well - handpump";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;10;29,6;"02065";"Low Risk / Safe";"0";"2.87";1
"rg22-0rxj-tjy5";"North Western";"Port Loko";"Lokomasama";"ROLOKO";"ALONG PETIFU JUNCTION ROAD";"Mapping officer - MoWR";"Community water point";"8.68869394";"-13.10386558";"60.0";"New borehole - handpump";NA;NA;NA;NA;0,02;NA;NA;0,7;5;0,01;NA;NA;8;30,4;"03462";"Intermediate Risk / Probably Safe";"1.5";"7.81";1
"ka1n-qr6u-1p6x";"North Western";"Port Loko";"Lokomasama";"MAPITERR";"10 PORT LOKO ROAD";"Mapping officer - MoWR";"Community water point";"8.69307411";"-13.11426327";"54.0";"Rehabilitated hand dug well - handpump";NA;NA;NA;0,05;NA;NA;NA;0,6;5;0,01;NA;NA;16;31,3;"03461";"Low Risk / Safe";"0";"2.87";2
"2exx-cmaa-e5ht";"North Western";"Port Loko";"Lokomasama";"KOMRABAI";"35 PORT LOKO ROAD";"Mapping officer - MoWR";"Community water point";"8.69537278";"-13.12046679";"58.0";"Rehabilitated hand dug well - handpump";NA;NA;NA;0,05;0,03;NA;NA;0,9;5;0,01;NA;NA;16;31,3;"02069";"Low Risk / Safe";"0";"2.87";1
"t2u8-nupd-hgmc";"North Western";"Port Loko";"Kaffu Bullom";"KOMRABAI";"DEC PRIMARY SCHOOL, KOMRABAI";"Mapping officer - MoWR";"School";"8.69001537";"-13.13130399";"36.0";"Rehabilitated hand dug well - handpump";NA;NA;NA;NA;0,02;NA;NA;3,4;66;0,01;NA;NA;208;32,1;"02068";"Low Risk / Safe";"0";"2.87";1
"43br-k6tg-kay7";"North Western";"Port Loko";"Lokomasama";"MATHEN";"DEC PRIMARY SCHOOL, MATHEN";"Mapping officer - MoWR";"School";"8.69552364";"-13.15065511";"99.0";"Rehabilitated hand dug well - handpump";NA;NA;NA;NA;0,02;NA;NA;1,2;5;0,01;NA;0;6;29,9;"02067";"Low Risk / Safe";"0";"2.87";2
"hty3-mtmx-9f7d";"North Western";"Port Loko";"Kaffu Bullom";"Lingi";"112 Alimamy Seray-Modu";"Mapping officer - MoWR";"Community water point";"8.63976379";"-13.22572151";"86.0";"Rehabilitated hand dug well - handpump";NA;NA;NA;NA;0,02;NA;NA;0,6;NA;0,01;NA;0;32;29,8;"02066";"Low Risk / Safe";"0";"2.87";2
"d875-6jhp-sbsq";"Southern";"Moyamba";"Kori";"JUMA";"MCHP JUMA";"4";"PHU";"8.255242";"-12.20507349";"106.0";"New hand dug well with submersible pump";6,85;NA;0,04;0,05;0,07;1;0,05;0,7;5;0,01;NA;6;105;29,5;"03797";"High Risk / Possibly Unsafe";"13.6";"83.06";2
"ywk3-bye9-d7e5";"Southern";"Moyamba";"Fakunya";"MOKELLAY";"MOKELLAY  MCHP";"3";"PHU";"8.29721396";"-12.29345594";"94.0";"New borehole with submersible pump";6,66;NA;0,05;0,05;0,02;9;0,05;6;5;0,01;NA;0;182;28,8;"03796";"High Risk / Possibly Unsafe";"13.6";"83.06";2
"rcde-gtc9-s4u4";"Southern";"Moyamba";"Kaiyamba";"TAKP0IMA";"TAKP0IMA CoMMUNITY";"4";"Community water point";"8.2057319";"-12.4387303";"88.0";"New hand dug well - handpump";6,77;NA;0,21;1,78;0,02;7,8;0,1;16;13;0,01;NA;0;254;33,6;"03682";"High Risk / Probably Unsafe";"48.3";"351.91";1
"550a-1s7w-qkht";"Southern";"Moyamba";"Kowa";"MOFOMBO";"MCHP MOFOMBO";"4";"PHU";"8.1360192";"-11.89687444";"85.0";"New borehole with submersible pump";7,04;NA;0,05;0,71;0,02;1,2;0,07;0,8;5;0,01;NA;0;129;30,7;"03687";"Low Risk / Safe";"0";"2.87";2
"9acq-9989-1ayn";"Southern";"Moyamba";"Kowa";"NJAMA";"NJAMA NURSERY SCHOOL";"3";"School";"8.08310727";"-11.94222783";"77.0";"New hand dug well - handpump";8,4;NA;NA;0,33;0,03;3,6;0,33;16;11;0,01;NA;0;1000;30,2;"03686";"Low Risk / Safe";"0";"2.87";1
"p9a8-a976-dusg";"Southern";"Moyamba";"Kori";"GBUIHUN";"MCHP GBUIHUN";"3";"PHU";"8.25122723";"-12.1243851";"88.0";"Rehabilitated hand dug well with submersible pump";6,83;NA;0,09;0,05;0,02;1;0,06;16;71;0,01;NA;0;59;31,1;"03683";"Very High Risk / Unsafe";">100";"9435.1";2
"p16f-1nwg-thxe";"Southern";"Moyamba";"Kori";"KONDA";"CHP KONDA";"4";"PHU";"8.19109574";"-12.18469993";"110.0";"New borehole with submersible pump";6,5;NA;0,1;0,05;0,14;3,6;0,05;0,7;5;0,01;NA;21;8;30,7;"03684";"Low Risk / Safe";"0";"2.87";1
"ptbw-3gmm-bb7v";"Southern";"Moyamba";"Kori";"SALINA GBAYA";"UMC SALINA GBAYA";"4";"School";"8.22072641";"-12.16257834";"112.0";"New hand dug well - handpump";7,77;NA;0,15;0,19;NA;1;0,05;4,1;NA;0,01;NA;34;136;31;"03685";"Intermediate Risk / Probably Safe";"1.2";"5.64";1
"69g4-q542-apq5";"Southern";"Pujehun";"Galliness";"MAKORMA";"MAKORMA PHU";"6";"PHU";"7.3951199999999995";"-11.643241666666665";"169.4";"New borehole with submersible pump";7,47;NA;0,04;0,37;0,03;1,3;0,48;2,8;14;0,01;20;0;246;33,1;"03853";"Low Risk / Safe";"0";"2.87";6
"2ers-bvuc-j6bh";"Southern";"Pujehun";"Perri";"FALABA";"FALABA PHU";"6";"PHU";"7.4208750000000006";"-11.530463333333334";"99.2";"New borehole with submersible pump";6,5;NA;0,15;0,05;0,18;1,9;0,36;0,8;11;0,01;16,7;0;18;34,1;"03808";"Intermediate Risk / Probably Safe";"2";"6.32";7
"qwb8-dvq7-f7qu";"Southern";"Pujehun";"Barri";"TANBAYAMA";"TANBAYAMA PHU";"6";"PHU";"7.472086666666667";"-11.514078333333336";"72.2";"New borehole with submersible pump";6,5;NA;0,27;0,05;0,1;1;0,08;0,7;5;0,02;8,9;0;11;33,2;"03809";"Intermediate Risk / Probably Safe";"2";"6.32";4
"s7xw-dbwh-apjk";"Southern";"Moyamba";"Dasse";"KENEMA GBANDOMA";"MCHP KENEMA GBANDOMA";"4";"PHU";"8.08671365";"-12.12180564";"104.0";"New hand dug well with submersible pump";7,2;NA;0,05;0,05;0,08;7,6;0,05;7,8;30;0,01;NA;16;198;31,5;"03689";"High Risk / Probably Unsafe";"48.3";"351.91";2
"pt6s-u7ut-y76p";"Southern";"Moyamba";"Dasse";"BAMBUIBU TOMMY";"MCHP NAMBUIBU TOMMY";"4";"PHU";"7.98021407";"-12.16218645";"93.0";"Rehabilitated hand dug well with submersible pump";6,5;NA;0,06;0,05;0,03;2,5;0,08;1;5;0,01;NA;0;21;31,8;"03688";"Low Risk / Safe";"0";"2.87";2
"amju-5hd9-ha8q";"Southern";"Pujehun";"Makpele";"ZIMMI TOWN";"ZIMMI SECONDARY SCHOOL";"6";"School";"7.311653333333334";"-11.316525000000002";"86.3";"New borehole - handpump";6,5;NA;0,13;0,05;0,08;1;0,05;5,2;20;0,01;12,8;9;15;30,3;"03852";"Low Risk / Safe";"0";"2.87";2
"cb9w-mvtj-4gte";"Southern";"Moyamba";"Dasse";"TANINIHUN KAPUIMA";"RC PRIMARY SCHOOL TANINIHUN KAPUIMA";"3";"School";"8.00431191";"-12.2298065";"85.0";"Rehabilitated hand dug well - handpump";6,5;5,65;0,06;NA;0,05;NA;0,05;0,7;82;0,01;NA;7;30;32,7;"03691";"Low Risk / Safe";"0";"2.87";2
"b7vk-8ttu-70cd";"Southern";"Moyamba";"Kongbora";"MOKOREWO";"EDC CENTRE MOKOREWO";"3";"School";"8.18994313";"-12.52668241";"82.0";"New hand dug well - handpump";7,19;6,8;0,17;NA;0,49;NA;0,14;5,9;73;0,01;NA;9;277;33,9;"03693";"Intermediate Risk / Probably Safe";"1.1";"5.16";1
"eg35-nbwq-sm97";"North Western";"Port Loko";"Masimera";"KONTA LINE";"KONTA LINE CHP";"8";"PHU";"8.48597618";"-12.54606579";"119.0";"New borehole with submersible pump";6,5;5,67;0,11;0,05;0,02;1,8;0,05;0,6;5;0,01;NA;0;13;30,4;"03467";"Intermediate Risk / Possibly Safe";"3.2";"11.82";2
"m25f-fff2-ja9t";"North Western";"Port Loko";"Koya";"WAREMA";"WAREMA WATER POINT I";"8";"Community water point";"8.4888699";"-12.63899813";"70.0";"Rehabilitated hand dug well - handpump";6,5;5,52;0,1;0,27;0,03;2,8;0,07;0,6;12;0,01;NA;0;27;31,5;"03465";"Intermediate Risk / Possibly Safe";"4.7";"22.75";4
"xmbw-hqpf-8f7n";"North Western";"Port Loko";"Koya";"WAREMA";"WAREMA POINT II BY RC PRIMARY SCHOOL";"8";"Community water point";"8.49001983";"-12.63254968";"128.0";"Rehabilitated hand dug well - handpump";7,08;6,72;0,02;0,05;0,02;4,2;0,06;0,7;10;0,01;NA;6;153;33,5;"03466";"Intermediate Risk / Probably Safe";"1.5";"7.81";5
