"region","functionality_main","water_months","seasonality","dryness","dryness_duration","puits_safety","latitude","longitude","photo"
"Bamako","fonctionnel",12,"No","non",NA,"Non",12.58287148,-7.92310211,"https://akvoflow-87.s3.amazonaws.com/images/fac52039-bb88-4333-a5c4-cf2d8810f8de.jpg"
"Bamako","sec",11,"Yes","oui","2012","Non",12.59040505,-7.92184085,"https://akvoflow-87.s3.amazonaws.com/images/53aa46f8-8402-4824-870a-54daade27b3e.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.66779316,-7.91989119,"https://akvoflow-87.s3.amazonaws.com/images/aef1c6bc-98e5-4f36-8ec0-8a229097057c.jpg"
"Bamako","non utilisé",NA,"No",NA,NA,"Non",12.67504913,-7.96588488,"https://akvoflow-87.s3.amazonaws.com/images/6d6bd511-011b-45e3-803e-d24557948f8f.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.67674099,-7.96580998,"https://akvoflow-87.s3.amazonaws.com/images/badd3352-55f9-4eaa-b295-0fd5cdd79724.jpg"
"Bamako","non utilisé",NA,"No",NA,NA,"Non",12.67239175,-7.96656619,"https://akvoflow-87.s3.amazonaws.com/images/a2c48796-39d6-4b29-9666-7887bd9e600d.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.67105106,-7.96581935,"https://akvoflow-87.s3.amazonaws.com/images/e63aa683-cc17-4df1-a839-d5756c9e4373.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.5876328,-7.92691097,"https://akvoflow-87.s3.amazonaws.com/images/450520c8-68ba-486b-a5f4-54b09cdd3d84.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.59294494,-7.94628182,"https://akvoflow-87.s3.amazonaws.com/images/be333f91-879a-4708-b9af-6e2b197fcda3.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.66695428,-7.91939527,"https://akvoflow-87.s3.amazonaws.com/images/079253a4-c5fa-4f52-be0b-a30a13caef1e.jpg"
"Bamako","fonctionnel",9,"Yes","non",NA,"Non",12.65283612,-8.04805208,"https://akvoflow-87.s3.amazonaws.com/images/14000f03-9a9c-402d-b3f3-3b272440caf7.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.66264772,-7.92285606,"https://akvoflow-87.s3.amazonaws.com/images/d23c11e5-dd3f-4c69-b138-2681be8e8107.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.67046386,-8.01430872,"https://akvoflow-87.s3.amazonaws.com/images/48d23e1d-fd49-40ec-b71d-089ae59acaa5.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.50817185,-7.9512279,"https://akvoflow-87.s3.amazonaws.com/images/65e85385-64a5-462e-83db-820aa37d57b6.jpg"
"Bamako","fonctionnel",8,"Yes","non",NA,"Non",12.61580909,-8.02490138,"https://akvoflow-87.s3.amazonaws.com/images/0c9de430-af50-455d-8802-be3d7f91e027.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.60850821,-8.04488122,"https://akvoflow-87.s3.amazonaws.com/images/5b0abb28-2b65-4994-afc2-99a2ec9b8323.jpg"
"Bamako","non utilisé",NA,"No",NA,NA,"Non",12.67767402,-7.9501507,"https://akvoflow-87.s3.amazonaws.com/images/b6451f4f-3ccd-49bb-8002-2b5d69574f48.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.69600681,-7.95031958,"https://akvoflow-87.s3.amazonaws.com/images/5ba30a54-8613-402f-9348-a8d64b96a2c6.jpg"
"Bamako","fonctionnel",12,"No","non",NA,"Non",12.57579307,-7.96467255,"https://akvoflow-87.s3.amazonaws.com/images/eb4f0a93-1c5a-4608-be44-67a7f3a8ffb4.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.59427227,-7.89888428,"https://akvoflow-87.s3.amazonaws.com/images/a56fd6fc-4d0f-49f0-b987-feff2b7b3af7.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.61600148,-7.91840883,"https://akvoflow-87.s3.amazonaws.com/images/86470da5-6c0c-4787-aa9a-8564e333a243.jpg"
"Bamako","fonctionnel",9,"Yes","non",NA,"Non",12.61292278,-7.91185065,"https://akvoflow-87.s3.amazonaws.com/images/424a23e3-fb25-46f7-a036-4ef1144d7c4e.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.59849921,-7.97265417,"https://akvoflow-87.s3.amazonaws.com/images/ea222204-7818-43bf-88ed-ecce148aa921.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.61229618,-7.94719137,"https://akvoflow-87.s3.amazonaws.com/images/8dc5ac9f-399c-4799-a4ef-b7ea752c0fc8.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.61407268,-7.9479175,"https://akvoflow-87.s3.amazonaws.com/images/bdc44aa0-d80e-42f1-a1e3-8f088f2ed544.jpg"
"Bamako","fonctionnel",9,"Yes","non",NA,"Non",12.61645667,-7.95072544,"https://akvoflow-87.s3.amazonaws.com/images/614e8b66-8242-4e52-addd-95143b8028b0.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.68310223,-7.92319985,"https://akvoflow-87.s3.amazonaws.com/images/1de6ca8d-8586-4598-961b-d00943df3aaa.jpg"
"Bamako","non utilisé",NA,"No",NA,NA,"Non",12.68229123,-7.92362093,"https://akvoflow-87.s3.amazonaws.com/images/582f23cc-a089-44c0-8de5-b8ded9e9ee6d.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.67610283,-7.9441429,"https://akvoflow-87.s3.amazonaws.com/images/d07c3a8e-4c75-48a5-8762-36ad1cceb754.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.67275673,-7.94971737,"https://akvoflow-87.s3.amazonaws.com/images/01da79d0-63bc-45d2-9fd7-839ac7e111fa.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.66687054,-7.94145291,"https://akvoflow-87.s3.amazonaws.com/images/8ec39468-f83a-4704-a6c2-cfb719238ca6.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.66808339,-7.92124229,"https://akvoflow-87.s3.amazonaws.com/images/decd6de2-a5e7-43e2-a84f-d85bbf8bdeab.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.68638581,-8.04860813,"https://akvoflow-87.s3.amazonaws.com/images/80a23446-2a2d-4864-9083-9a5cd0856fd7.jpg"
"Gao","sec",NA,"No","oui",NA,"Non",15.87643852,1.5246116,"https://akvoflow-87.s3.amazonaws.com/images/a337a117-9f42-4f02-a0d7-9b0550453eef.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.16737596,0.66225661,"https://akvoflow-87.s3.amazonaws.com/images/2c6549df-ea43-4253-969c-99c1ff1d23dd.jpg"
"Gao","sec",6,"Yes","oui","6mois","Oui",15.21452711,0.72301064,"https://akvoflow-87.s3.amazonaws.com/images/e5e69ec1-9ed4-4986-b211-9b92da5edc91.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",15.81188783,0.33080345,"https://akvoflow-87.s3.amazonaws.com/images/4b58de6c-6bbc-47db-83a3-4d4ca6375685.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",15.87779088,2.89137237,"https://akvoflow-87.s3.amazonaws.com/images/289dcf69-ebec-4711-b166-8faeadb68979.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",15.80918475,0.32428985,"https://akvoflow-87.s3.amazonaws.com/images/693a8713-7067-4ef0-a8cd-6046a05ea7a9.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.96759091,-0.43581847,"https://akvoflow-87.s3.amazonaws.com/images/8656b254-d32d-4727-b834-a9f7d1511d6b.jpg"
"Gao","sec",2,"Yes","oui","8","Non",15.7464889,0.97310333,"https://akvoflow-87.s3.amazonaws.com/images/461b9810-7fa6-48bd-8fdb-40f1c2f0066d.jpg"
"Gao","fonctionnel",5,"Yes","non",NA,"Non",16.49981672,0.65372023,"https://akvoflow-87.s3.amazonaws.com/images/e012f79e-3545-4c79-a216-4f35de147573.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.49990187,0.65321559,"https://akvoflow-87.s3.amazonaws.com/images/29defb03-a30f-4f23-bcef-be580b10c63f.jpg"
"Gao","fonctionnel",3,"Yes","non",NA,"Non",16.49909194,0.65307622,"https://akvoflow-87.s3.amazonaws.com/images/b4be3537-64b7-425d-a053-3a146903015d.jpg"
"Gao","fonctionnel",2,"Yes","non",NA,"Non",16.49867597,0.65414889,"https://akvoflow-87.s3.amazonaws.com/images/166a675a-de92-433e-9641-602d762f68f6.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",15.13081176,0.01849811,"https://akvoflow-87.s3.amazonaws.com/images/7768cd25-858a-4117-8a42-b7ece537e272.jpg"
"Gao","sec",4,"Yes","oui","8","Non",15.13966554,0.12704403,"https://akvoflow-87.s3.amazonaws.com/images/10343459-0add-4d55-a7d3-23d7d614c761.jpg"
"Gao","sec",4,"Yes","oui","9","Non",15.17239663,0.13223383,"https://akvoflow-87.s3.amazonaws.com/images/9e3abf9e-293e-400c-b585-0c58fefea07a.jpg"
"Gao","fonctionnel",10,"Yes","non",NA,"Non",15.8984557,2.40677078,"https://akvoflow-87.s3.amazonaws.com/images/6bee4c06-9461-452e-945f-674c9e1c4345.jpg"
"Gao","fonctionnel",8,"Yes","non",NA,"Non",15.22489532,0.29500085,"https://akvoflow-87.s3.amazonaws.com/images/9068e2d9-9701-4b33-9122-0a40579a721a.jpg"
